nodename,issid,nodesize,straintype,color,human,plant,soil,water,unknown,others
Partial-s4-r(3):b141,0,1,2,nan,1,0,0,0,0,0
Partial-s4-r(2):b142,0,2,2,nan,0,1,1,0,0,0
Partial-s5-r(19):b143,0,1,2,nan,0,1,0,0,0,0
Partial-s6-r(7):b144,0,1,2,nan,0,1,0,0,0,0
Partial-s7-r(9):b145,0,1,2,nan,0,1,0,0,0,0
Partial-s15-r(9):b146,0,2,2,nan,0,0,1,0,1,0
Partial-s15-r(19):b147,0,1,2,nan,0,0,0,0,1,0
Partial-s15-r(9):b148,0,1,2,nan,0,0,0,0,1,0
Partial-s15-r(8):b149,0,1,2,nan,0,0,0,0,1,0
Partial-s23-r(7):b150,0,1,2,nan,0,0,0,0,1,0
Partial-s23-r(6):b151,0,4,2,nan,0,0,0,0,4,0
Partial-s23-r(5):b152,0,1,2,nan,0,0,0,0,1,0
Partial-s23-r(2):b153,0,1,2,nan,0,1,0,0,0,0
Partial-s24-r(8):b154,0,1,2,nan,0,1,0,0,0,0
Partial-s24-r(7):b155,0,1,2,nan,0,0,0,1,0,0
Partial-s24-r(13):b156,0,1,2,nan,0,0,0,0,1,0
Partial-s26-r(8):b157,0,1,2,nan,0,0,0,1,0,0
Partial-s35-r(5):b158,0,2,2,nan,0,1,0,0,1,0
Partial-s35-r(2):b159,0,55,2,nan,0,33,0,0,22,0
Partial-s35-r(11):b160,0,1,2,nan,0,0,0,0,1,0
Partial-s35-r(3):b161,0,1,2,nan,0,1,0,0,0,0
Partial-s35-r(2):b162,0,2,2,nan,0,0,0,0,2,0
Pure-s35:b163,0,288,1,nan,0,59,6,6,215,2
Partial-s35-r(6):b164,0,1,2,nan,0,0,1,0,0,0
Partial-s35-r(9):b165,0,1,2,nan,0,0,0,0,1,0
Partial-s35-r(7):b166,0,1,2,nan,0,0,0,0,1,0
Partial-s35-r(5):b167,0,2,2,nan,0,0,1,0,1,0
Partial-s35-r(3):b168,0,2,2,nan,0,0,2,0,0,0
Partial-s35-r(4):b169,0,1,2,nan,0,0,0,1,0,0
Partial-s35-r(2):b170,0,1,2,nan,0,0,0,0,1,0
Partial-s36-r(5):b171,0,1,2,nan,0,0,0,0,0,1
Partial-s36-r(5):b172,0,3,2,nan,0,1,0,0,2,0
Partial-s36-r(2):b173,0,7,2,nan,0,0,2,0,5,0
Partial-s36-r(3):b174,0,6,2,nan,0,0,2,0,3,1
Partial-s36-r(2):b175,0,1,2,nan,0,0,0,0,1,0
Partial-s36-r(3):b176,0,4,2,nan,0,1,2,0,1,0
Partial-s36-r(3):b177,0,3,2,nan,0,0,0,1,2,0
Partial-s36-r(3):b178,0,1,2,nan,0,0,1,0,0,0
Pure-s36:b179,0,29,1,nan,0,5,6,1,16,1
Partial-s36-r(2):b180,0,11,2,nan,0,2,2,0,7,0
Partial-s36-r(3):b181,0,3,2,nan,0,2,1,0,0,0
Partial-s36-r(2):b182,0,16,2,nan,0,3,8,0,4,1
Pure-s37:b183,0,7,1,nan,0,0,3,1,3,0
Partial-s37-r(4):b184,0,1,2,nan,0,0,1,0,0,0
Partial-s37-r(6):b185,0,1,2,nan,0,0,0,0,1,0
Partial-s37-r(2):b186,0,1,2,nan,0,1,0,0,0,0
Partial-s38-r(3):b187,0,1,2,nan,0,0,0,0,1,0
Partial-s38-r(4):b188,0,1,2,nan,0,0,0,0,1,0
Partial-s38-r(3):b189,0,1,2,nan,1,0,0,0,0,0
Partial-s38-r(6):b190,0,1,2,nan,0,0,0,0,1,0
Partial-s38-r(4):b191,0,1,2,nan,0,0,0,0,1,0
Partial-s39-r(3):b192,0,1,2,nan,1,0,0,0,0,0
Pure-s39:b193,0,80,1,nan,55,1,2,2,20,0
Partial-s39-r(3):b194,0,1,2,nan,1,0,0,0,0,0
Partial-s39-r(2):b195,0,2,2,nan,2,0,0,0,0,0
Partial-s39-r(2):b196,0,2,2,nan,0,0,0,0,2,0
Partial-s45-r(11):b197,0,1,2,nan,0,0,0,0,0,1
Partial-s45-r(15):b198,0,2,2,nan,0,0,0,0,1,1
Partial-s45-r(16):b199,0,1,2,nan,0,0,0,1,0,0
Partial-s45-r(15):b200,0,1,2,nan,0,0,1,0,0,0
Partial-s45-r(11):b201,0,1,2,nan,0,0,0,0,1,0
Partial-s45-r(11):b202,0,1,2,nan,1,0,0,0,0,0
Partial-s45-r(15):b203,0,1,2,nan,0,0,0,0,1,0
Partial-s45-r(14):b204,0,1,2,nan,0,0,0,0,0,1
Partial-s45-r(8):b205,0,1,2,nan,0,0,0,0,1,0
Partial-s45-r(5):b206,0,1,2,nan,0,0,0,0,1,0
Partial-s45-r(5):b207,0,1,2,nan,0,0,1,0,0,0
Partial-s45-r(4):b208,0,1,2,nan,0,0,0,1,0,0
Partial-s46-r(8):b209,0,1,2,nan,0,1,0,0,0,0
Partial-s47-r(21):b210,0,1,2,nan,0,0,0,0,1,0
Partial-s55-r(4):b211,0,1,2,nan,0,1,0,0,0,0
Partial-s56-r(4):b212,0,1,2,nan,0,0,0,0,0,1
Partial-s57-r(8):b213,0,1,2,nan,0,0,1,0,0,0
Partial-s58-r(5):b214,0,1,2,nan,1,0,0,0,0,0
Partial-s58-r(3):b215,0,5,2,nan,3,1,1,0,0,0
Partial-s65-r(6):b216,0,1,2,nan,0,0,1,0,0,0
Partial-s65-r(3):b217,0,3,2,nan,0,0,3,0,0,0
Partial-s66-r(21):b218,0,1,2,nan,0,0,0,0,1,0
Partial-s66-r(5):b219,0,1,2,nan,1,0,0,0,0,0
Partial-s66-r(5):b220,0,1,2,nan,0,0,1,0,0,0
Partial-s66-r(4):b221,0,1,2,nan,0,0,1,0,0,0
Partial-s66-r(3):b222,0,2,2,nan,0,0,0,1,1,0
Partial-s68-r(8):b223,0,1,2,nan,0,1,0,0,0,0
Partial-s68-r(5):b224,0,1,2,nan,0,0,1,0,0,0
Partial-s68-r(6):b225,0,1,2,nan,0,0,1,0,0,0
Partial-s68-r(6):b226,0,3,2,nan,0,0,0,0,2,1
