rec,groupid,straintype,candself,nearesttype,color
263,3,1,1,PAM18-2643(2),#FF0000
264,3,1,1,PAM18-2643(2),#FF0000
265,3,1,1,PAM18-2643(2),#FF0000
266,91,1,1,PA2398(1),#FF00FF
267,3,1,1,PAM18-2643(2),#FF0000
268,39,1,1,PALES-28981(3),#7F007F
269,3,1,1,PAM18-2643(2),#FF0000
270,91,1,1,N296-2471(1),#FF00FF
271,39,1,1,PALES-28981(3),#7F007F
272,39,1,1,PALES-28981(3),#7F007F
273,39,1,1,PALES-28981(3),#7F007F
274,39,1,1,PALES-28981(3),#7F007F
275,91,1,1,N296-2471(1),#FF00FF
276,91,1,0,N296-2471(1),#FF00FF
277,39,1,1,PALES-28981(3),#7F007F
278,39,1,1,PALES-28981(3),#7F007F
279,3,1,1,PAM18-2643(2),#FF0000
280,91,1,1,N296-2471(1),#FF00FF
281,39,1,1,PALES-28981(3),#7F007F
282,39,1,1,PALES-28981(3),#7F007F
283,3,1,1,PAM18-2643(2),#FF0000
284,3,1,1,PAM18-2643(2),#FF0000
285,3,1,1,PAM18-2643(2),#FF0000
286,3,1,1,PAM18-2643(2),#FF0000
287,3,1,1,PAM18-2643(2),#FF0000
288,3,1,1,PAM18-2643(2),#FF0000
289,3,1,1,PAM18-2643(2),#FF0000
290,3,1,1,PAM18-2643(2),#FF0000
291,39,1,1,PALES-28981(3),#7F007F
292,3,1,1,PAM18-2643(2),#FF0000
293,3,1,1,PAM18-2643(2),#FF0000
294,3,1,1,PAM18-2643(2),#FF0000
295,3,1,1,PAM18-2643(2),#FF0000
296,3,1,1,PAM18-2643(2),#FF0000
297,39,1,1,PALES-28981(3),#7F007F
298,3,1,1,PAM18-2643(2),#FF0000
299,3,1,1,PAM18-2643(2),#FF0000
300,3,1,1,PAM18-2643(2),#FF0000
301,3,1,1,PAM18-2643(2),#FF0000
302,3,1,1,PAM18-2643(2),#FF0000
303,3,1,1,PAM18-2643(2),#FF0000
304,91,1,1,N296-2471(1),#FF00FF
305,91,1,1,N296-2471(1),#FF00FF
306,91,1,1,N296-2471(1),#FF00FF
307,91,1,1,N296-2471(1),#FF00FF
308,91,1,1,N296-2471(1),#FF00FF
309,3,1,1,PAM18-2643(2),#FF0000
310,91,1,1,N296-2471(1),#FF00FF
311,91,1,1,N296-2471(1),#FF00FF
312,39,1,1,PALES-28981(3),#7F007F
313,39,1,1,PALES-28981(3),#7F007F
314,39,1,1,PALES-28981(3),#7F007F
315,91,1,1,N296-2471(1),#FF00FF
316,3,1,1,PAM18-2643(2),#FF0000
317,3,1,1,PAM18-2643(2),#FF0000
318,91,1,0,N296-2471(1),#FF00FF
319,3,1,1,PAM18-2643(2),#FF0000
320,3,1,1,PAM18-2643(2),#FF0000
321,3,1,1,PAM18-2643(2),#FF0000
322,39,1,1,PALES-28981(3),#7F007F
323,3,1,1,PAM18-2643(2),#FF0000
324,3,1,1,PAM18-2643(2),#FF0000
325,39,1,1,PALES-28981(3),#7F007F
326,91,1,1,N296-2471(1),#FF00FF
327,91,1,1,N296-2471(1),#FF00FF
328,91,1,1,N296-2471(1),#FF00FF
329,3,1,1,PAM18-2643(2),#FF0000
330,91,1,1,N296-2471(1),#FF00FF
331,91,1,1,N296-2471(1),#FF00FF
332,91,1,1,N296-2471(1),#FF00FF
333,91,1,1,N296-2471(1),#FF00FF
334,91,1,1,N296-2471(1),#FF00FF
335,91,1,1,N296-2471(1),#FF00FF
336,3,1,1,PAM18-2643(2),#FF0000
337,3,1,1,PAM18-2643(2),#FF0000
338,3,1,1,PAM18-2643(2),#FF0000
339,3,1,1,PAM18-2643(2),#FF0000
340,3,1,1,PAM18-2643(2),#FF0000
341,3,1,1,PAM18-2643(2),#FF0000
342,3,1,1,PAM18-2643(2),#FF0000
343,39,1,1,PALES-28981(3),#7F007F
344,3,1,1,PAM18-2643(2),#FF0000
345,3,1,1,PAM18-2643(2),#FF0000
346,39,1,1,PALES-28981(3),#7F007F
347,39,1,1,PALES-28981(3),#7F007F
348,91,1,1,N296-2471(1),#FF00FF
349,91,1,1,PA2398(1),#FF00FF
350,91,1,1,N296-2471(1),#FF00FF
351,3,1,1,PAM18-2643(2),#FF0000
352,39,1,0,PALES-28981(3),#7F007F
353,3,1,1,PAM18-2643(2),#FF0000
354,91,1,1,N296-2471(1),#FF00FF
355,3,1,1,PAM18-2643(2),#FF0000
356,91,1,1,N296-2471(1),#FF00FF
357,91,1,1,N296-2471(1),#FF00FF
358,39,1,1,PALES-28981(3),#7F007F
359,39,1,1,PALES-28981(3),#7F007F
360,3,1,1,PAM18-2643(2),#FF0000
361,39,1,1,PALES-28981(3),#7F007F
362,3,1,1,PAM18-2643(2),#FF0000
363,39,1,1,PALES-28981(3),#7F007F
364,3,1,1,PAM18-2643(2),#FF0000
365,3,1,1,PAM18-2643(2),#FF0000
366,3,1,1,PAM18-2643(2),#FF0000
367,3,1,1,PAM18-2643(2),#FF0000
368,39,1,1,PALES-28981(3),#7F007F
369,3,1,1,PAM18-2643(2),#FF0000
370,3,1,1,PAM18-2643(2),#FF0000
371,91,1,1,N296-2471(1),#FF00FF
372,91,1,1,N296-2471(1),#FF00FF
373,3,1,1,PAM18-2643(2),#FF0000
374,3,1,1,PAM18-2643(2),#FF0000
375,39,1,1,PALES-28981(3),#7F007F
376,3,1,1,PAM18-2643(2),#FF0000
377,3,1,1,PAM18-2643(2),#FF0000
378,39,1,1,PALES-28981(3),#7F007F
379,91,1,1,N296-2471(1),#FF00FF
380,3,1,1,PAM18-2643(2),#FF0000
381,3,1,1,PAM18-2643(2),#FF0000
382,91,1,1,N296-2471(1),#FF00FF
383,91,1,1,N296-2471(1),#FF00FF
384,3,1,1,PAM18-2643(2),#FF0000
385,3,1,1,PAM18-2643(2),#FF0000
386,3,1,1,PAM18-2643(2),#FF0000
387,3,1,1,PAM18-2643(2),#FF0000
388,3,1,1,PAM18-2643(2),#FF0000
389,3,1,1,PAM18-2643(2),#FF0000
390,3,1,1,PAM18-2643(2),#FF0000
391,3,1,1,PAM18-2643(2),#FF0000
392,91,1,1,N296-2471(1),#FF00FF
393,3,1,1,PAM18-2643(2),#FF0000
394,91,1,1,N296-2471(1),#FF00FF
395,91,1,1,N296-2471(1),#FF00FF
396,39,1,1,PALES-28981(3),#7F007F
397,3,1,1,PAM18-2643(2),#FF0000
398,91,1,1,N296-2471(1),#FF00FF
399,3,1,1,PAM18-2643(2),#FF0000
400,39,1,1,PALES-28981(3),#7F007F
401,91,1,1,N296-2471(1),#FF00FF
402,3,1,1,PAM18-2643(2),#FF0000
403,3,1,1,PAM18-2643(2),#FF0000
404,3,1,1,PAM18-2643(2),#FF0000
405,39,1,1,PALES-28981(3),#7F007F
406,39,1,0,PALES-28981(3),#7F007F
407,3,1,1,PAM18-2643(2),#FF0000
408,3,1,1,PAM18-2643(2),#FF0000
409,39,1,1,PALES-28981(3),#7F007F
410,39,1,1,PALES-28981(3),#7F007F
411,91,1,1,PA14-33680(1),#FF00FF
412,91,1,1,N296-2471(1),#FF00FF
413,91,1,1,N296-2471(1),#FF00FF
414,3,1,1,PAM18-2643(2),#FF0000
415,3,1,1,PAM18-2643(2),#FF0000
416,3,1,1,PAM18-2643(2),#FF0000
417,3,1,1,PAM18-2643(2),#FF0000
418,3,1,0,PAM18-2643(2),#FF0000
419,3,1,0,PAM18-2643(2),#FF0000
420,39,1,1,PALES-28981(3),#7F007F
421,91,1,1,N296-2471(1),#FF00FF
422,91,1,0,N296-2471(1),#FF00FF
423,91,1,1,N296-2471(1),#FF00FF
424,91,1,1,N296-2471(1),#FF00FF
425,39,1,1,PALES-28981(3),#7F007F
426,91,1,1,N296-2471(1),#FF00FF
427,3,1,1,PAM18-2643(2),#FF0000
428,91,1,1,N296-2471(1),#FF00FF
429,3,1,0,PAM18-2643(2),#FF0000
430,91,1,0,N296-2471(1),#FF00FF
431,3,1,1,PAM18-2643(2),#FF0000
432,39,1,1,PALES-28981(3),#7F007F
433,3,1,1,PAM18-2643(2),#FF0000
434,3,1,1,PAM18-2643(2),#FF0000
435,3,1,1,PAM18-2643(2),#FF0000
436,3,1,1,PAM18-2643(2),#FF0000
437,3,1,1,PAM18-2643(2),#FF0000
